餐廳名稱,消費時間,餐廳區域,餐廳地址,營業時間,電話,平均價位,推薦菜色
Hoto Cafe,107年1月,台北,台北市中山區南京東路一段13巷7弄6號,, (02)2521-4334,每人平均價位：200~300元,
蘭芳麵食館,2017年/9月,台北,台北市中山區遼寧街95號,午:1130-1400 晚:1730-2100,02-27529611,,
中村烘焙廚房,2018年/1月,台北,台北市大同區南京西路61號,,02 2558 5618,,
食田1984 新加坡肉骨茶,2017年11月1日,台北,台北市松山區市民大道五段5號,17:30-24:00,0966081908,,
愛是 司康烘焙專賣店,106年/12月,台北,台北市萬華區,,,,
貓藏咖啡,2017年/9月,台北,台北市大同區赤峰街51號,週一、週三～週日 10：00～19：00,2552-6936,,
 DiVino Taipei, 2018年/1月,台北,台北市大安區安和路二段71巷15號,,(02)2732-2552,,
RAPL澎派令果,2018年/3月,台北,台北市信義區松高路12號,,,,
松滿樓(內湖店),,台北,台北市內湖區洲子街85號,11:30~14:10；17:30~21:00,(02)2657-0003,,
海地撈台灣五號店 京站店,2017年/12月,台北,台北市大同區承德路一段1號4樓,11：00～03：00,(02)2559-0125、(02)2559-0126,,
小器食堂 溫州店,2017年/10月,台北,台北市大安區羅斯福路三段283巷7弄12號,12.00~21.00,02 23670057,,
旬採鮨処,2017年/11月,台北,台北市大安區信義路四段199巷3號,"11:30–14:30, 17:30–21:30",02 2707 1383,,
肉多多火鍋 肉品專賣第一品牌,2018年/03月,台北,10491台北市中山區明水路646號1樓,11:30–01:30,02-8502-7010,,
三葉堂 檸檬生活概念店,2017年/10月,台北,台北市大同區赤峰街81號,週一～週六 11：30~20：30 (周日公休),,,輕檸酸梅湯 輕檸接骨木
木白甜點咖啡店,2017年/11月,台北,台北市中山區松江路226巷8號,12:00–21:00 (週六至22:00),02 2543 1782,,
史丹貓美式餐廳,106年10月,台北,台北市敦化南路一段160巷26號,,(02) 8771-8725,,
蘭芳麵食館,2017年/11月,台北,台北市中山區遼寧街95號,,02 2752 9611,,
roots cafe,2016.8,台北,台北市信義區松壽路11號4樓,AM11:00~PM21:30(周日~周四),02-27111256,,
雲軒西餐廳,2017年/8月,台北,台北市大同區承德路一段3號,,(02)2181-9977,,
雪福早午餐,2018年/3月,台北,台北市士林區士東路100號2樓252號攤位,,,每人平均價位：NT$150,
Tairroir態芮,,台北,台北市樂群三路299號6樓,, 02-8501-5500,價位：3650+10%,
CAFE de GEAR,2017年/9月,台北,台北市中正區寧波東街3-3號,早上11點至晚上9點 (若遇國慶假日可能有所調整),(02) 2356-3389,,
總統府交誼廳,2017年/10月,台北, 100台北市中正區重慶南路一段122號,,,每人平均價位：100,
VA VA VOOM,2018 1月,台北,台北信義區松高路11號6樓,,,,
illuminé Pâtisserie 果昂甜品,107年1月,台北,台北市大同區赤峰街43-1號,, (02)2550-3515,每人平均價位：100~200元,
萬隆火鍋哥涮涮鍋,2017年/10月,台北,台北市文山區羅斯福路五段218巷1號,"11:00–15:00, 17:00–23:00",(02)2933-0369,,
玻璃花房,2017年/10月,台北,台北市中正區南昌路1段136號,11:00-21:00,(02)2321-6910,,
Woosa屋莎鬆餅屋(台北京站店),2018年/2月,台北,台北市大同區承德路一段1號2樓,週日～週四 11：00～21：30；週五～週六 11：00～22：00,2559-4846,,
不老麻糬,2017年/11月,台北,台北市中山區松江路297巷,11:00~18:00,0987-529-318,,
態芮Taïrroir,2018年/2月,台北,台北市中山區樂群三路299號,AM12:00~PM2:30  PM6:30~PM10:30,02-85015500,,
道頓堀大阪燒 DOHTONBORI,2018年/2月,台北,台北市信義區松壽路12號5樓,11:00 am ~ 10:00 pm,02-7737-8885,,
日本橋海鮮丼つじ半Tsujihan,2018年7月,台北,台北市信義區忠孝東路五段68號B1,週日~週三 11:00am~09:30pm 週四~週六 (例假日) 11:00am~10:00pm,02 2722 1427,,
大和日本料理,2018年11月,台北,台北市中山區錦州街17號,每天 11:30~14:00 17:00~22:30,02-2531-7786,,
三民麵線內湖二店,107年/10月,台北,台北市內湖區瑞光路358巷38弄3號,11：00-16：30,02-2657-5598,,
天母盛鑫(天母中山店),2108年/08月,台北,台北市士林區中山北路五段729號,11:30 – 22:00,(02)28363588 (02)28363587,,
渣男Taiwan Bistro-南京三渣,107年/9月,台北,台北市松山區南京東路四段179巷3弄2號,平假日17:30-01:30,02-25459903,,
幸福七角棧,2018年/7月,台北,台北市大安區建國南路一段356號（捷運大安森林公園站6號出口）,11:50~21:00 (無公休),(02) 2700-2719,,
同28,2018年/10月,台北,台北市信義區松仁路28號6樓,,,,
來呷甜甜品,2018年/7月,台北,台北市中正區延平南路11號,11:30~19:30 週二休,02-55964288,,
touching 踏奇,2018年/11月,台北,台北市大安區羅斯福路三段269巷6-1號（近台電大樓捷運站2號出口）,9:00-23:45,,,
福天下,2018/10月,台北,台北市大安區敦化南路一段232巷8號 (忠孝敦化捷運站6號出口),中午11:30-14:30  下午18:00-21:30,02 87722729,,
義牛車炙燒牛排,2018/08,台北,台北市內湖區麗山街68巷5號,11:00 ~ 14:00 、 17:00 ~ 21:00,02-2657-9981,,
阿華海鮮熱炒,2018/7,台北,台北市中山區市民大道三段29號,17:30-23:30（周一公休）,02-2740-6325,,
顧人願冰館,2018年/9月,台北,台北市文山區木新路二段198號, 12:00–21:30 (平日)/ 12:00–22:00 (假日)/周四公休,0907 298 968,,
貳拾陸巷 Somebody Cafe,2018年/06月,台北,台北市萬華區成都路65號2F,10:00–22:00,02-2311-2371,,
忠誠號蚵仔煎,2018年7月,台北,111台北市士林區大東路15-32號,星期一～星期日：15:00～01:00,02 2883 8833,,
無名牛排,2018年/11月,台北,台北市南港區玉成街40-1號（南港運動中心對面）,11:00 - 23:00,,,
de PLACE 德普雷斯,2018/6,台北,台北市大安區敦化南路一段161巷69弄5號, 周一至周四14:00-23:30；週五14:00-1:30；週六12:00-1:30；週日12:00-23:30,02-2711-0611,,
Aburasoba Shin 油そば専門店,2018/06,台北,台北市大安區仁愛路四段228-6號,11:45 ~ 13:30; 17:30 ~ 20:30; 禮拜二公休,(02) 2755-6705,,
方圓涮涮屋,2018年/9月,台北,台北市萬華區萬大路333號,11:00 - 15:00 、 17:30 - 22:00,2309-3222,,
鮮蔬活,2018年/8月,台北,台北市松山區南京東路四段133巷5弄14號(捷運小巨蛋站5號出口),一~六 11:00~20:00 ; 日 08:00~16:00,02-2719-2508,,
Oni Kitchen 南洋火鍋,2018年/09月,台北,台北市大安區忠孝東路四段216巷40弄9號,"11:30–14:30, 17:30–22:00 (星期一公休)",02 8771 8871,,
Cafe Marche 咖啡瑪榭,2018年/8月,台北,台北市中山區中山北路二段16巷15號,08:30–22:00, 02 2567 9077,,
方家懷舊眷村滷味,107年8月,台北,台北市中山區中山北路二段103號,,02 2541 0939,每人平均價位：NT100~200,
真的好海鮮餐廳,2018年/8月,台北,台北市大安區復興南路一段222號,"11:30~14:30, 17:30~21:30",02 2771 3000,,
ChiaoDuo House巧哚洋房,2018年/7月,台北,106 台北市仁愛路四段345巷5弄17號,每日17:30-23:30，週一公休,02-2778-3347,,
Mo-Mo-Paradise 復興店,2018/12,台北,10696台北市大安區復興南路一段42號1樓,週一 - 週五 11:30 AM - 3:00 PM；5:00 PM - 12:30 AM,(02) 2772-1577,,
NABIYA,2018年/07月,台北,台北市大安區金山南路二段 13 巷 20 號, 11:30–14:30 17:30–21:30 週一公休,0910087587,,
元帥豬腳,2018 年/ 11 月,台北,台北市內湖區東湖路119巷10號,略,02 2631 1300,,
天丼てんや,,台北,台北市中正區忠孝西路一段36號B1-04,,無,,
瑋恩波士頓餐廳,2018年/9月,台北,10491台北市中山區新生北路一段88號,"11:30–15:00, 17:00–22:00 (周二公休)",02 2541 9530,,
紅屋牛排（民生店）,2018年/8月,台北,台北市松山區民生東路三段119號,,02-2719-5167,,
麓鳩 a ru chuu,2018年/11月,台北,台北市松山區光復南路32巷18號1樓,13:00–23:00,02-2577-3218,,
東京串燒。酒場,2018/08,台北,台北市萬華區康定路18-3號,18:30-01:00(週日公休),(02)2371 - 8568,,
 GMT 義法餐廳 台北美福大飯店, 2018/9月,台北,  台北市中山區樂群二路55號4樓,  中午11:30-14:30  下午18:00-21:30, 02 77223399,,
幸福堂,107年/11月,台北,台北市中正區汀州路三段185號,星期五-六 11:00~22:30  星期日-四 11:00~22:00,(02)2367-9097,,
柑單生活坊,2018/8,台北,台北市內湖區潭美街355號,週一-週五 10:00–17:00, 02-2794-2779,,
Liquid Bread Co.,2018年/8月,台北,台北市大安區延吉街270號,AM11:00~PM12:00,,,
初魚料亭,2018/08,台北,台北市大安區泰順街2號,11:30 ~ 21:30,0963-599-875,,
夜奔咖哩,2018年/9月,台北,台北市文山區景文街19號,12:00-22:00,02 8931 6077,,
鮨七海,2018年11月,台北,台北市仁愛路四段452巷6號,18:00～22:00。每週一公休, 02 2758-0266,,
松屋,2018年/9月,台北,台北市南京西路15號B1,依百貨公司營業時間,,,
我愛希臘捲餅,2018年/7月,台北,台北市大安區光復南路260巷54號,週一至週六 15:00 - 22:00,,每人平均價位：100,
 : 初魚屋台, : 2018年/8月,台北,台北市大安區泰順街14號,午餐：11:30/13:00（90分鐘）,0974-211-857,,
葉家肉粥,2018年/7月,台北,台北市大同區保安街49巷17號,,0916-836-699,,
師大公館分部臭豆腐,2018年/8月,台北,台北市文山區汀州路四段88號 靠近師大分部研究大樓,22:30 - 24:00 (週四週五),+886 972 231 911,,
璐露野生活Luluyelife Cafe 野餐餐廳,,台北,台北市大安區安和路一段127巷29弄5號,週一至週日 8:00 – 17:00,,,
山海天婦羅(博多天麩羅 山海),2018/10,台北, 台北市信義區忠孝東路五段8號B2樓, 11:00 - 20:45,(02)2723 - 1885,,
大福利排骨大王,2018/06,台北,台北市中正區羅斯福路三段286巷12號,11:00 ~ 20:30,(02) 2365-1009,,
馬旦馬須,2018年11月,台北,105台北市松山區敦化北路165巷9號,17:00-22:00,02-25451001,,
hi日楞RYOU CAFE,18年/05月,台北,106台北市大安區浦城街24-1號,09:00–18:00, 02 2363 6268,,
徹思叔叔的店 Uncle Tetsu(本店),2018 年/ 8 月,台北,台北市中正區北平西路3號1樓(台北車站大廳北南二門),10:00~22:00,02-2383-1221,,
貨室甜品,2018 年/ 8 月,台北,台北市大同區赤峰街71巷34號,14:00~20:30(六日12:00開始，週一公休),略,,
舒服氣息Truffles Aroma,2018年/11月,台北,台北市大安區大安路一段206巷13號,11:30AM~11:00PM,(02)2703-3130,,
約翰紅茶公司南港店,2018年/11月,台北,台北市南港區興東街7號,週一~週五 10:00- 21:00/週六 11:00-21:00 週日公休,02-2785-6777,,
Stone Espresso Bar,2018年/8月,台北,台北市大安區安和路二段171巷6號,"13:00~20:00 周五至21:00, 周日至17:00 周二休",02-27327772,,
好吃米粉湯,2018 年/ 11 月,台北,台北市內湖區安康路434巷1-3號,05:30–13:00,略,,
茶茶果,2018年/8月,台北,台北市萬華區漢中街36-1號,10:00-22:45,02 2388 6537,,
泰國小館,2018/09,台北,台北市中正區汀州路三段219號,11:30 ~ 21:30; 禮拜二公休,(02) 2367-0739,,
猿田彥咖啡 台北南西店,2018年/09月,台北,台北市中山區南京西路16號1樓,,02-2581-3358 #1107,,
貨室甜品,2018年/8月,台北,台北市大同區赤峰街71巷34號,14:00 - 21:00 (週一公休),,,
Go Home To Eat. 回家吃,2018年/10月,台北,台北市中山區龍江路370巷48-3號,08:00~17:00 周一休,0916-699405,,
記得我 Remember me cafe,2018年/9月,台北,台北市松山區南京東路四段133巷4弄16號,週二~六  12:00~2:00，週日一  12:00~22:00,02 2547 1517,,
阿來甜不辣,2018年/10月,台北,台北市南港區同德路45號,10:00–19:30 週日公休,02-2651-5899,,
菜豚屋VEGE TEJI YA,2018年/9月,台北,105台北市松山區八德路二段410巷16弄8號,12:00-15:00 、 17:00-23:00,02 2778 8055,,
Café del SOL 台北信義微風店,2018年11月,台北, 台北市信義區忠孝東路五段68號2樓 (微風信義）, 11:00~21:00, +886-2-2722-8260,,
長勝君捲蛋餅,2018年/10月,台北, 台北市松山區興安街214號,08:00 – 17:00,02 2514 8998,,
匈奴人雞胸肉專賣店,2018年/11月,台北,台北市南港區研究院路二段33號,15:00–21:00,02-2653-7575,,
意麵王,2018年/4月,台北,台北市大同區歸綏街202號,10:30–20:30,02-25530538,,
圓山聯誼會,2018年/7月,台北,台北市中山區中山北路四段1號,,,,
Stan & Cat 史丹貓美式餐廳 西門店,2018年/11月,台北,台北市萬華區昆明街138號,10:00–22:00, 02 2311 2550,,
開飯川食堂 | KAIFUN TOGETHER,2018/07,台北,台北市大同區承德路一段1號,11～22：00,02 2556 5788,,
凱菲屋,2018年/6月,台北,110台北市信義區松壽路2號,,(02)2720-1230,,
CAFE!N（硬咖啡）,2018年/11月,台北,台北市大安區忠孝東路四段250-2號,週一～週日 07：30～17：30,8771-3861,,
紅玉滿赤心雞蛋糕,2018年/6月,台北,100台北市忠孝西路一段47號B1樓,10:00–22:30,0976 575 592,,
山丼,2018年11月25日,台北,台北市中山區汀州路三段153號,11:00-21:00,02-2368-3766,,
好吃豆花,2018/07,台北,台北市文山區景文街135之1號,-,-,,
東一排骨,2018年/9月,台北,台北市中正區延平南路61號,10:00-20:00,02 2381 1487,,
疍宅Egghost,2018年/7月,台北,台北市中山區松江路204巷45號,週三-週六 12:00-20:00,02-2521-5361,,
凝視咖啡 Gaza Cafe,2018年/10月,台北,台北市萬華區廣州街32 號,10:00~20:30 周日休,02-23364949,,
丼賞和食,2018年/7月,台北,台北市中山區南京東路二段140號 (松江南京站5號出口再走1分鐘),11:00-14:30，17:30-21:00,02 2517 5526,,
誠品生活南西店美食街餐廳,2018年9月,台北,台北市中山區南京西路14號(距離捷運中山站3、4號出口步行1分鐘),週日至週四11:00-22:00 / 週五至週六11:00-22:30,02-25813358,,
BOX巴克斯蛋餅(延吉店),2018年/3月,台北,台北市大安區延吉街137巷30號1樓,週一～週日 17：00～19：30,2711-9925,,
A CUT牛排館,2018/8,台北,台北市中山區中山北路二段63號,"11:30–15:00, 18:00–22:30",02 2571 0389,,
台電大樓｜新田鰻味屋 公館店,2018年/7月,台北,106台北市大安區羅斯福路三段277號,"11:30-14:30, 17:30-21:30",02-23661369,,
特濃屋,2018年/8月 2018/2月,台北,台北市中山區中山北路2段77巷22號1樓,11:30-15:00  17:00-22:00,,,
台北新光三越南西店三館B1美食街,2018年9月,台北,台北市中山區南京西路15號B1,11:00~21:30(週日至週四)，11:00~22:00(週五、週六及例假日前一天),02-25641111,,
   餐廳名稱：承記鍋貼,2018年/11月,台北,台北市內湖區康寧路三段16巷100號,11:15–14:30 16:30–20:00 週日公休,02-2633-7010,,
新平洞,2018年/06月,台北,台北市中正區信義路二段79巷16-6號,週二-週五：10:00-17:00,(02)2391-5051,,
阿斌芋圓,2018年/07月,台北,台北大同區長安西路220巷5-1號,,02-2555-6079,,
CAFE RACO,2018年/6月,台北,台北市中山區民生東路二段147巷1號,,02-2517-5310,,
養心茶樓,2018年/7月,台北,台北市中山區松江路128號,"11:30–14:20, 14:30–16:30, 17:30–21:30 (平日)",02 2542 8828,,
鉄火牛排,2018年/11月,台北,台北市大安區敦化南路一段187巷70號,11:30-24:00,02-87731177,,
Cafe 凱菲屋,2018/7,台北,台北市信義區松壽路2號,早餐　6:30 AM – 10:30AM,02 2720 1230,,
紅昌吉天然紅豆腐豬血湯,2018年/09月,台北,103台北市大同區昌吉街46號,10:00 - 22:00,02-2596-1640,,
吳名麻辣 東豐街,2018年/ 11月,台北,106台北市大安區大安路一段176巷1-1號,17:30~00:30,02 2325 5253,,
潘朵拉之宴 台北南港店,2018/11,台北,台北市南港區忠孝東路七段299號8樓（南港CITYLINK的C棟）,"11:00–15:00, 17:00–22:00", 02 2783 8980,,
伍梗肉蛋吐司,2018 年/ 10 月,台北,台北市內湖區康樂街97號,06:00~14:00,略,,
Curry For Peace,2018年/10月,台北,台北市信義區光復南路519巷7號,週一～週六 11：00～21：00、週日 12：30～20：00,8786-9877,,
唐點小聚,2018.08,台北,台北市大安區市民大道四段102號,11:00~22:00,02-2771-5808,,
欣葉食藝軒 台北101 85樓 觀景餐廳,2018年7月,台北,台北市信義路5段7號85樓之1 (台北101大樓),,(02)8101-0185,,
肉多多火鍋,2018年/06月,台北,台北市大安區信義路四段199巷18號1樓,週一~週日 11:30~00:00 (無公休),(02) 2755-1345,,
GB 鮮釀餐廳,2018年/3月,台北,台北市信義區松壽路11號2樓,11:00 am ~ 00:00 am,02-8786-7588,,
Mr.雪腐,2018年/8月,台北,台北市中正區羅斯福路三段244巷21號,12：00～22：30,02 2363 5200,,
長板凳工作室,2018年/8月,台北,台北市中山區合江街86號,週一～週六 07：00～13：00(週日公休),2509-1416,,
麵 Sato,2018年9月,台北,台北市中山區興安街44-1號,週二-週日12:00–14:00、17:00–20:00(週一公休),02 2504 5517,,
BLAnC.中山,2018年/10月,台北,台北市中山區中山北路二段36巷7號2樓,11:30-21:00,02-25681758,,
海底撈火鍋,2018年/4月,台北,台北市信義區松壽路12號6樓,11:00 am ~ 04:00 am,02-7743-1855,,
SUKIYA,2018/7月,台北,台北市中正區羅斯福路二段50號,24小時營業,02-2552-8700,,
川辣城麻辣滷味,2018/11,台北,台北市北投區西安街二段87號,周一至周五11:30-22:00 假日 17:00-22:00,0937-513-555,,
撈王鍋物料理,2018年/3月,台北,台北市信義區松壽路12號9樓,11:00 am ~ 00:00 am,02-7737-0773,,
